year,temperature_C,rainfall,maize_yield
1961,18.624038416666668,1305.0417,748.3
1962,18.866492666666662,1366.325,1175.5
1963,18.878972416666667,1516.1083,2000.0
1964,18.65468075,1199.4249,882.6
1965,18.7807215,1055.4333,1900.0
1966,18.828692166666663,1109.7418,1000.0
1967,18.795511916666666,1166.0417,1000.0
1968,18.84718425,1239.0167,1000.0
1969,19.246801166666668,1073.8584,1000.0
1970,19.285594666666668,1136.8417,1200.0
1971,18.885462083333334,1170.7333,1034.8
1972,18.98800325,1285.4583,1000.0
1973,19.19366775,1223.325,990.7
1974,18.538491333333333,1153.9917,1018.1
1975,18.884779916666663,1241.3,1075.1
1976,18.736936083333333,1221.4417,1079.8
1977,18.924512,1355.3251,1101.8
1978,18.88969575,1231.1665,1121.0
1979,19.129401166666668,1155.7583,1071.9
1980,18.934598,1128.325,1184.7
1981,19.343846153846155,1097.2667,1232.8
1982,19.293076923076924,1125.075,1160.6
1983,20.04692307692308,1136.6584,1291.6
1984,19.93769230769231,986.9584,1198.8
1985,19.065384615384616,1048.4667,1218.2
1986,19.194615384615386,1068.2749,1130.5
1987,19.41307692307692,1202.1251,1483.9
1988,19.900769230769228,1281.1583,1800.0
1989,19.43769230769231,1119.9166,1187.5
1990,19.47153846153846,1126.4917,1025.2
1991,20.060769230769232,1159.9333,1155.6
1992,20.861538461538466,1092.9167,1225.0
1993,20.583076923076923,1085.9166,1740.0
1994,20.38769230769231,1214.4166,1675.0
1995,20.10923076923077,1183.9583,1120.0
1996,19.442307692307693,1197.1417,1109.9
1997,19.611538461538466,1242.5,1090.8
1998,20.827692307692303,1189.2167,823.1
1999,20.963846153846152,1021.2167,755.6
2000,20.45384615384615,1038.1333,701.8
2001,20.12384615384616,1363.3583,767.1
2002,20.54615384615385,1132.0834,876.3
2003,20.327692307692303,1192.2583,767.2
2004,19.49692307692308,843.6667,767.0
2005,20.10076923076923,957.39166,888.9
2006,20.115384615384617,1285.05,853.1
2007,19.19538461538461,1311.225,720.1
2008,19.01384615384616,1072.2083,1151.5
2009,19.34923076923077,1205.6251,1950.3
2012,19.493076923076924,1096.2333,2258.7
2013,19.75846153846154,1202.1167,2284.5
2014,19.86,1175.9917,1531.6
2015,20.29230769230769,1221.85,1531.3
2016,20.346153846153847,1220.05,1574.8
2017,20.71,1113.2,1379.3
2018,19.147692307692303,1107.9083,1431.5
2019,19.89692307692308,1307.6251,1461.0
2020,19.19923076923077,1300.1667,1523.7
2021,19.13615384615385,1187.65,1521.6
2022,18.957692307692305,1361.7415,1528.6
2023,20.16923076923077,1189.85,1595.1
2024,20.6353846153846,1310.71,1833.5
2025,20.5246153846154,1290.0,1900.5
